,CustomerId,Cluster
377,500104498,2
378,500104639,0
379,500105055,3
380,500105123,3
381,500105703,0
382,500105759,0
383,500105878,2
384,500106086,3
385,500106537,0
386,500106661,0
387,500107254,1
388,500107639,2
389,500107711,0
390,500108020,0
391,500108979,2
392,500110801,3
393,500110833,0
394,500110957,2
395,500111117,0
396,500111630,0
397,500112140,2
398,500112390,0
399,500112466,0
400,500112506,2
401,500113090,0
402,500113303,1
403,500113488,0
404,500113652,3
405,500113779,3
406,500113827,3
407,500113961,3
408,500114223,0
409,500114410,3
410,500115028,0
411,500115173,0
412,500115183,3
413,500115417,3
414,500115586,3
415,500115786,1
416,500116263,3
417,500117060,3
418,500117402,0
419,500117452,0
420,500117678,3
421,500118167,1
422,500118483,3
423,500118618,0
424,500118938,0
425,500118955,0
426,500119772,0
427,500119813,0
428,500120170,0
429,500120539,0
430,500120799,3
431,500120816,2
432,500121382,3
433,500121809,1
434,500121986,0
435,500122050,2
436,500122254,0
437,500123203,0
438,500123843,0
439,500125174,0
440,500125928,0
441,500127002,2
442,500127035,2
443,500127300,0
444,500128314,0
445,500128752,0
446,500129171,3
447,500130475,0
448,500130513,3
449,500130518,3
450,500130622,3
451,500130625,2
452,500130663,3
453,500131939,3
454,500132162,0
455,500132398,2
456,500132735,0
457,500133214,0
458,500133381,0
459,500133872,3
460,500134137,3
461,500134944,3
462,500135151,3
463,500135927,3
464,500136588,3
465,500137161,2
466,500137585,2
467,500138060,2
468,500138312,0
469,500138313,3
470,500138427,0
471,500138638,0
472,500140325,2
473,500140403,0
474,500141231,2
475,500141367,3
476,500142000,3
477,500142020,0
478,500142095,0
479,500142124,3
480,500142356,1
481,500142689,0
482,500142691,0
483,500142741,0
484,500144250,1
485,500144318,3
486,500144510,3
487,500144687,0
488,500144816,0
489,500145705,2
490,500145720,0
491,500146746,0
492,500146813,2
493,500147119,0
494,500147156,0
495,500147439,2
496,500147451,2
497,500147543,0
498,500147703,1
499,500148047,0
500,500148129,2
501,500149619,0
502,500150454,0
503,500150958,0
504,500151576,0
505,500152659,3
506,500152875,3
507,500152912,3
508,500153868,2
509,500154066,0
510,500154311,2
511,500154955,2
512,500155197,2
513,500155476,2
514,500155887,2
515,500156271,3
516,500156774,3
517,500156962,2
518,500157125,0
519,500157314,3
520,500157871,0
521,500157933,2
522,500158490,3
523,500158840,3
524,500159620,0
525,500160173,2
526,500160639,2
527,500161643,0
528,500161817,2
529,500161828,0
530,500162179,2
531,500162235,0
532,500162458,0
533,500162777,3
534,500162917,0
535,500163539,2
536,500163727,3
537,500163731,0
538,500164224,0
539,500164364,0
540,500164401,0
541,500164813,0
