,Variable1,Variable2,Correlation
11301,m_12_14_conteo_personas_300m,LISTA_35_39_MUJERES_300m,0.8747696170625054
14972,LISTA_19_MUJERES_300m,LISTA_35_39_HOMBRES_300m,0.8747201819683257
17838,LISTA_50_54_MUJERES_300m,LISTA_60_64_HOMBRES_300m,0.8745047220104626
32391,autos_hora_4,autos_hora_5,0.8744022834097696
16199,LISTA_30_34_MUJERES_300m,LISTA_40_44_MUJERES_300m,0.8743148830075447
14971,LISTA_19_MUJERES_300m,LISTA_30_34_MUJERES_300m,0.8742084584243894
27079,flo_sem_cmen_300m,flo_sem_65amas_300m,0.8741134232335438
30547,flo_sem_30a44_300m,flo_sem_65amas_300m,0.8739365726009278
10066,h_30_49_conteo_personas_300m,LISTA_18_HOMBRES_300m,0.8739214344601463
28505,flo_finde_cmas_300m,flo_sem_30a44_300m,0.873770819086613
10665,m_0_2_conteo_personas_300m,m_18_24_conteo_personas_300m,0.8736497593624754
13129,modelos_tres_mas_conteo_hogares_300m,LISTA_19_MUJERES_300m,0.8736415689832033
33007,autos_hora_7,autos_hora_9,0.8735697013309546
10301,h_50_59_conteo_personas_300m,pensionados_conteo_personas_300m,0.8733149535965166
17262,LISTA_45_49_HOMBRES_300m,viviendas_300m,0.8731152018246067
12118,m_30_49_conteo_personas_300m,LISTA_40_44_HOMBRES_300m,0.8731105281810966
27477,flo_sem_dmas_300m,flo_finde_d_300m,0.8730914975352526
12115,m_30_49_conteo_personas_300m,LISTA_30_34_MUJERES_300m,0.8730826582494324
9255,h_12_14_conteo_personas_300m,LISTA_20_24_MUJERES_300m,0.8730375944786172
11494,m_15_17_conteo_personas_300m,LISTA_18_HOMBRES_300m,0.8729335739399923
31181,autos_promedio,autos_hora_19,0.8728972062387056
9636,h_18_24_conteo_personas_300m,h_25_29_conteo_personas_300m,0.872859937227485
9254,h_12_14_conteo_personas_300m,LISTA_20_24_HOMBRES_300m,0.8728332275639314
12117,m_30_49_conteo_personas_300m,LISTA_35_39_MUJERES_300m,0.8725517925286785
11937,m_25_29_conteo_personas_300m,pnea_conteo_personas_300m,0.8723546737967821
16204,LISTA_30_34_MUJERES_300m,LISTA_55_59_HOMBRES_300m,0.8723417470442238
15994,LISTA_30_34_HOMBRES_300m,LISTA_40_44_HOMBRES_300m,0.8722811475038776
9844,h_25_29_conteo_personas_300m,m_0_2_conteo_personas_300m,0.8722737273114961
14569,LISTA_18_MUJERES_300m,LISTA_45_49_MUJERES_300m,0.8721874713178102
9262,h_12_14_conteo_personas_300m,LISTA_40_44_HOMBRES_300m,0.8721452888840265
10871,m_3_5_conteo_personas_300m,m_30_49_conteo_personas_300m,0.8721268931615459
8831,h_3_5_conteo_personas_300m,m_30_49_conteo_personas_300m,0.8717579701966589
8694,h_0_2_conteo_personas_300m,viviendas_300m,0.8715404962004918
12341,m_50_59_conteo_personas_300m,pensionados_conteo_personas_300m,0.8712374658318522
9642,h_18_24_conteo_personas_300m,m_6_11_conteo_personas_300m,0.871143135150773
10288,h_50_59_conteo_personas_300m,LISTA_55_59_HOMBRES_300m,0.8709614748756708
16011,LISTA_30_34_HOMBRES_300m,estudiantes_conteo_personas_300m,0.8708312457567292
27272,flo_sem_d_300m,flo_finde_cmen_300m,0.8706800266380215
27282,flo_sem_d_300m,flo_sem_45a64_300m,0.8706629811120115
8616,h_0_2_conteo_personas_300m,h_25_29_conteo_personas_300m,0.8705023571022538
10058,h_30_49_conteo_personas_300m,modelos_una_persona_conteo_hogares_300m,0.8702532077621248
8625,h_0_2_conteo_personas_300m,m_18_24_conteo_personas_300m,0.8700131106583959
10304,h_50_59_conteo_personas_300m,pea_conteo_personas_300m,0.870005681092352
10734,m_0_2_conteo_personas_300m,viviendas_300m,0.8698553220162903
11895,m_25_29_conteo_personas_300m,modelos_dos_personas_conteo_hogares_300m,0.8698268585518165
12926,modelos_dos_personas_conteo_hogares_300m,LISTA_20_24_HOMBRES_300m,0.8697682848546034
14774,LISTA_19_HOMBRES_300m,LISTA_50_54_HOMBRES_300m,0.8697008778199272
18452,LISTA_60_64_HOMBRES_300m,LISTA_65_Y_MAS_HOMBRES_300m,0.8694649123998414
11495,m_15_17_conteo_personas_300m,LISTA_18_MUJERES_300m,0.869233365222255
9023,h_6_11_conteo_personas_300m,h_18_24_conteo_personas_300m,0.8692251693764019
12927,modelos_dos_personas_conteo_hogares_300m,LISTA_20_24_MUJERES_300m,0.8691177428932605
10298,h_50_59_conteo_personas_300m,ocupados_conteo_personas_300m,0.8690465290876216
15998,LISTA_30_34_HOMBRES_300m,LISTA_50_54_HOMBRES_300m,0.868736543200606
14767,LISTA_19_HOMBRES_300m,LISTA_30_34_MUJERES_300m,0.868674818827021
13545,modelos_hog_no_fam_conteo_hogares_300m,LISTA_35_39_MUJERES_300m,0.8684167001976316
10063,h_30_49_conteo_personas_300m,PADRON_HOMBRES_300m,0.8683645305474055
17235,LISTA_45_49_HOMBRES_300m,estudiantes_conteo_personas_300m,0.8682468956290916
10327,h_50_59_conteo_personas_300m,POBTOT_300m,0.8682025936436226
27895,flo_finde_tot_300m,flo_sem_65amas_300m,0.8681717301653059
9675,h_18_24_conteo_personas_300m,LISTA_50_54_MUJERES_300m,0.8681496456858103
10257,h_50_59_conteo_personas_300m,m_18_24_conteo_personas_300m,0.8681061179249325
20730,pensionados_conteo_personas_300m,viviendas_300m,0.8680587473719796
10090,h_30_49_conteo_personas_300m,LISTA_HOMBRES_300m,0.8679069344387782
11302,m_12_14_conteo_personas_300m,LISTA_40_44_HOMBRES_300m,0.8678566366156276
12930,modelos_dos_personas_conteo_hogares_300m,LISTA_30_34_HOMBRES_300m,0.8676568463068219
10062,h_30_49_conteo_personas_300m,modelos_hog_no_fam_conteo_hogares_300m,0.867611390263531
9431,h_15_17_conteo_personas_300m,h_18_24_conteo_personas_300m,0.8676078982097085
14566,LISTA_18_MUJERES_300m,LISTA_40_44_HOMBRES_300m,0.86747857843532
10302,h_50_59_conteo_personas_300m,asalariados_conteo_personas_300m,0.8672907894427946
32802,autos_hora_6,autos_hora_8,0.8670369832582075
12729,modelos_una_persona_conteo_hogares_300m,LISTA_35_39_MUJERES_300m,0.8669981510479856
9081,h_6_11_conteo_personas_300m,pnea_conteo_personas_300m,0.8668262826486792
10326,h_50_59_conteo_personas_300m,viviendas_300m,0.8667778205633782
11121,m_6_11_conteo_personas_300m,pnea_conteo_personas_300m,0.8667091962333119
11295,m_12_14_conteo_personas_300m,LISTA_20_24_MUJERES_300m,0.8666928664073185
12107,m_30_49_conteo_personas_300m,LISTA_18_MUJERES_300m,0.8666927565679196
27281,flo_sem_d_300m,flo_sem_30a44_300m,0.8666620484522416
10072,h_30_49_conteo_personas_300m,LISTA_25_29_HOMBRES_300m,0.8665967710523348
17852,LISTA_50_54_MUJERES_300m,pea_conteo_personas_300m,0.8664853041113727
11294,m_12_14_conteo_personas_300m,LISTA_20_24_HOMBRES_300m,0.8663547681795049
13141,modelos_tres_mas_conteo_hogares_300m,LISTA_45_49_MUJERES_300m,0.8662431538942029
17846,LISTA_50_54_MUJERES_300m,ocupados_conteo_personas_300m,0.8661695074575584
17850,LISTA_50_54_MUJERES_300m,asalariados_conteo_personas_300m,0.8661292603608569
16404,LISTA_35_39_HOMBRES_300m,LISTA_45_49_HOMBRES_300m,0.866101667689931
9874,h_25_29_conteo_personas_300m,LISTA_40_44_HOMBRES_300m,0.8660856908968506
26671,flo_sem_c_300m,flo_sem_65amas_300m,0.8659203614088699
27487,flo_sem_dmas_300m,flo_sem_65amas_300m,0.8659186671312191
11690,m_18_24_conteo_personas_300m,modelos_una_persona_conteo_hogares_300m,0.8659122177130171
9455,h_15_17_conteo_personas_300m,LISTA_18_MUJERES_300m,0.8658009372041525
8617,h_0_2_conteo_personas_300m,h_30_49_conteo_personas_300m,0.8656411362010221
11694,m_18_24_conteo_personas_300m,modelos_hog_no_fam_conteo_hogares_300m,0.8654539615113128
14407,LISTA_18_HOMBRES_300m,POBTOT_300m,0.8651005834630845
15388,LISTA_20_24_MUJERES_300m,LISTA_55_59_HOMBRES_300m,0.8649785077346459
14970,LISTA_19_MUJERES_300m,LISTA_30_34_HOMBRES_300m,0.864356453085798
16202,LISTA_30_34_MUJERES_300m,LISTA_50_54_HOMBRES_300m,0.8642572169464728
