,CustomerId,Cluster
125,500021058,2
126,500021082,2
127,500021245,2
128,500021358,1
129,500021418,2
130,500021424,2
131,500021867,0
132,500022353,2
133,500022630,2
134,500022689,1
135,500023249,2
136,500023541,1
137,500023743,1
138,500023855,2
139,500023996,2
140,500024295,2
141,500024470,2
142,500024552,2
143,500024691,2
144,500025479,2
145,500025528,2
146,500025810,2
147,500026000,2
148,500026385,1
149,500026451,2
150,500026480,2
151,500027166,2
152,500027204,2
153,500027577,2
154,500027640,2
155,500027732,1
156,500028539,2
157,500028626,2
158,500028813,0
159,500029141,2
160,500029632,2
161,500029932,2
162,500029943,1
163,500030169,1
164,500030207,2
165,500030289,1
166,500030352,2
167,500030641,2
168,500030817,2
169,500031038,2
170,500031540,2
171,500032590,2
172,500032720,1
173,500032752,2
174,500032856,1
175,500032928,2
176,500033221,2
177,500033250,2
178,500033542,2
179,500034364,2
180,500034454,2
181,500035466,2
182,500035751,1
183,500036023,1
184,500036329,2
185,500036495,1
186,500036669,2
187,500036729,2
188,500036812,2
189,500037121,2
190,500037334,2
191,500037576,2
192,500038168,2
193,500038248,2
194,500038341,1
195,500038518,1
196,500038595,1
197,500038628,2
198,500038823,1
199,500038839,2
200,500039365,2
201,500039486,2
202,500039498,2
203,500039890,2
204,500039947,2
205,500039953,2
206,500039983,2
207,500040143,2
208,500040333,2
209,500040388,2
210,500041086,2
211,500041325,2
212,500042455,1
213,500042621,2
214,500042956,2
215,500043165,2
216,500043348,2
217,500043513,2
218,500043631,2
219,500044148,2
220,500044322,2
221,500045258,2
222,500045274,2
223,500045287,2
224,500045336,3
225,500045455,2
226,500045958,1
227,500046985,2
228,500047259,1
229,500047439,1
230,500047720,2
231,500048123,1
232,500048145,2
233,500048255,1
234,500048263,2
235,500048420,1
236,500048735,2
237,500048805,2
238,500048923,2
239,500049087,1
240,500050629,2
241,500052596,2
242,500054129,1
243,500054575,1
244,500054689,1
245,500054744,1
246,500056015,2
247,500056690,2
248,500056842,2
249,500057051,1
250,500057147,1
251,500057375,1
252,500057734,2
253,500057751,1
254,500058131,1
255,500058196,1
256,500058273,1
257,500059004,2
258,500059202,2
259,500059348,2
260,500060292,2
261,500060349,1
262,500060843,2
263,500060967,2
264,500061571,2
265,500061731,3
266,500061976,1
267,500062013,1
268,500062485,1
269,500062719,1
270,500062726,2
271,500063467,2
272,500063557,2
273,500063629,1
274,500063669,2
275,500063703,1
276,500064087,1
277,500065978,2
278,500066201,1
279,500067313,2
280,500067319,2
281,500067426,2
282,500067449,2
283,500067900,1
284,500068697,2
285,500068722,2
286,500069651,2
287,500069953,2
288,500070119,2
289,500070138,1
290,500071637,1
291,500071804,2
292,500072290,2
293,500072658,2
294,500072781,2
295,500073052,2
296,500073141,2
297,500073793,1
298,500073950,2
299,500073955,2
300,500074139,2
301,500074210,2
302,500074831,2
303,500075448,2
304,500075683,2
305,500075897,2
306,500076281,1
307,500076757,1
308,500076939,2
309,500077580,2
310,500078393,1
311,500079205,2
312,500079430,2
313,500079710,1
314,500080098,1
315,500080787,2
316,500081028,2
317,500081372,2
318,500082227,2
319,500082417,2
320,500083888,1
321,500084135,1
322,500086007,1
323,500087283,2
324,500087926,2
325,500087991,2
326,500089016,2
327,500089942,2
328,500090078,2
329,500090839,1
330,500091885,2
331,500092141,2
332,500092268,2
333,500092595,2
334,500092768,2
335,500092777,2
336,500093017,2
337,500093375,1
338,500094369,2
339,500094473,1
340,500094553,2
341,500094785,2
342,500094952,1
343,500094978,2
344,500095002,2
345,500095209,2
346,500095381,2
347,500096129,2
348,500096217,1
349,500096366,2
350,500097058,1
351,500097087,2
352,500098502,2
353,500098935,1
354,500099417,2
355,500099470,1
356,500099506,2
357,500099734,2
358,500100502,2
359,500100511,2
