,CustomerId,KMEANS_AGG,KMEANS_AGG_PCA,KMEANS_AGG_MCA,KMEANS_AGG_UMAP
1924,510763190,1,3,2,0
1925,510764026,1,3,1,3
1926,510764476,1,3,1,0
1927,510765506,1,3,3,3
1928,510766283,1,3,1,0
1929,510766660,1,3,3,3
1930,510767085,1,3,0,0
1931,510767623,1,3,0,0
1932,510770241,1,3,0,0
1933,510771444,1,3,0,0
1934,510772220,1,3,1,0
1935,510773201,1,3,3,0
1936,510774620,1,3,1,0
1937,510775118,1,3,1,3
1938,510775996,1,3,0,0
1939,510776089,1,3,1,0
1940,510777635,1,3,3,0
1941,510779278,1,3,3,0
1942,510779281,1,3,3,0
1943,510780352,1,3,0,0
1944,510780600,1,3,1,0
1945,510781660,1,3,1,0
1946,510783257,1,3,2,0
1947,510785005,1,3,0,0
1948,510785071,1,3,3,0
1949,510786120,1,3,1,0
1950,510786517,1,3,3,0
1951,510787472,1,3,1,0
1952,510788238,1,3,3,0
1953,510788388,1,3,3,0
1954,510790337,1,3,1,0
1955,510790394,1,3,1,0
1956,510791078,1,3,2,0
1957,510791292,1,3,3,0
1958,510794396,1,3,1,0
1959,510795583,1,3,0,0
1960,510797075,1,3,0,0
1961,510797076,1,3,3,0
1962,510797092,1,3,1,0
1963,510797567,1,3,3,0
1964,510797856,1,3,0,0
1965,510798751,1,3,0,0
1966,510799535,1,3,0,0
1967,510801180,1,3,2,0
1968,510802348,1,3,3,0
1969,510803208,1,3,3,0
1970,510804162,1,3,0,0
1971,510804478,1,3,0,0
1972,510804650,1,3,1,0
1973,510805069,1,3,1,0
1974,510805312,1,3,0,0
1975,510807882,1,3,0,0
1976,510808188,1,3,0,0
1977,510809093,1,3,1,0
1978,510810402,1,3,3,0
1979,510810566,1,3,1,0
1980,510810947,1,3,1,0
1981,510811685,1,3,0,0
1982,510813930,1,3,3,0
1983,510814953,1,3,1,0
1984,510815357,1,3,0,0
1985,510816681,1,3,3,0
1986,510817066,1,3,3,0
1987,510818722,1,3,3,0
